Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,ClientNum,Predictions - Churn or Not,Predictions- Probability to Churn,Predictions - Churn or Not Desc,Actual_Result
48,F,3,Uneducated,Single,Less than $40K,Blue,39,4,3,4,2991.0,1508,1483.0,0.703,3734,64,0.882,0.504,719455083,1,99.73672337847223,Attrition,Attrition
59,M,1,Uneducated,Single,Less than $40K,Blue,53,5,5,4,2192.0,1569,623.0,0.706,4010,79,0.717,0.716,773503308,1,99.95169711774369,Attrition,Attrition
37,F,2,Graduate,Divorced,Less than $40K,Blue,36,4,3,3,1734.0,987,747.0,0.879,4727,67,0.914,0.569,715452408,1,99.88181194721597,Attrition,Attrition
47,M,3,Doctorate,Divorced,$40K - $60K,Blue,36,4,2,3,4786.0,1516,3270.0,0.94,4973,74,0.85,0.317,711264033,1,99.44927430333085,Attrition,Attrition
42,M,3,Unknown,Single,$80K - $120K,Blue,33,3,3,2,3714.0,2170,1544.0,0.524,1454,35,0.522,0.584,718943508,1,97.51483594975252,Attrition,Attrition
65,M,1,Graduate,Single,Less than $40K,Blue,56,5,3,2,7636.0,0,7636.0,0.801,3880,67,0.811,0.0,778247358,1,99.89402362593452,Attrition,Attrition
52,F,3,Unknown,Single,Unknown,Blue,36,3,1,2,10273.0,1657,8616.0,0.71,3778,70,0.591,0.161,710431158,1,99.96473170519727,Attrition,Attrition
58,F,2,High School,Divorced,Unknown,Gold,36,5,4,3,34516.0,1864,32652.0,0.664,3595,52,0.733,0.054,715252383,1,92.43788759818175,Attrition,Attrition
35,M,1,Doctorate,Single,$40K - $60K,Blue,24,6,3,2,10467.0,1961,8506.0,0.713,2665,65,0.667,0.187,717189183,1,99.83836186800465,Attrition,Attrition
48,M,4,College,Married,$80K - $120K,Blue,32,5,2,3,25190.0,0,25190.0,0.467,1533,41,0.323,0.0,712050933,1,82.1464251935631,Attrition,Existing
38,F,2,Graduate,Single,Unknown,Blue,31,2,3,2,14041.0,2154,11887.0,1.084,1467,29,1.417,0.153,714426783,1,99.9029679784643,Attrition,Attrition
41,M,3,Uneducated,Married,$60K - $80K,Blue,30,3,1,2,1950.0,1618,332.0,0.75,3357,47,0.88,0.83,721001883,1,95.61347406867593,Attrition,Attrition
49,F,2,Graduate,Married,Less than $40K,Blue,39,3,3,3,2796.0,1035,1761.0,0.664,4869,78,0.857,0.37,716352033,1,99.93720837798978,Attrition,Attrition
46,F,3,High School,Married,Less than $40K,Blue,39,3,3,0,1801.0,316,1485.0,0.494,2252,42,0.4,0.175,713696808,0,0.3758746947086143,Existing,Existing
41,M,2,Graduate,Single,$60K - $80K,Blue,30,3,1,2,2317.0,1232,1085.0,0.733,3057,71,0.919,0.532,711199908,1,99.92115803619907,Attrition,Attrition
46,M,3,Graduate,Unknown,$40K - $60K,Blue,34,3,6,1,2259.0,1346,913.0,0.813,7745,88,0.517,0.596,711203658,1,99.91536126651445,Attrition,Attrition
50,F,4,College,Married,Unknown,Blue,36,6,4,3,3862.0,0,3862.0,0.578,4058,81,0.723,0.0,708538608,1,99.86266304723978,Attrition,Attrition
64,F,0,High School,Single,Less than $40K,Blue,56,6,6,1,2609.0,1115,1494.0,0.753,4546,59,0.903,0.427,816528333,1,99.39833982446969,Attrition,Attrition
46,M,4,College,Married,$80K - $120K,Blue,34,5,3,2,13734.0,568,13166.0,0.719,4283,67,0.861,0.041,719835033,1,99.80051474995282,Attrition,Attrition
49,F,2,Unknown,Unknown,$40K - $60K,Blue,42,6,1,4,4949.0,1495,3454.0,0.791,3597,64,0.684,0.302,753856008,1,99.91682963161523,Attrition,Attrition
42,M,5,Unknown,Married,$60K - $80K,Blue,35,6,3,2,13650.0,1253,12397.0,0.743,1703,53,0.71,0.092,735008958,1,99.79081348745203,Attrition,Attrition
47,F,2,Uneducated,Single,Less than $40K,Blue,42,3,1,2,2271.0,2154,117.0,1.13,4150,69,0.865,0.948,814611633,1,99.96309837716973,Attrition,Attrition
48,F,2,College,Married,Less than $40K,Blue,36,4,3,1,1438.3,0,1438.3,0.743,4913,82,0.822,0.0,711583458,1,99.91395407501561,Attrition,Attrition
49,F,3,Graduate,Single,$40K - $60K,Blue,32,1,3,3,5400.0,1426,3974.0,0.595,4643,80,0.702,0.264,779701983,1,99.82823991208814,Attrition,Attrition
43,M,4,Doctorate,Unknown,$60K - $80K,Blue,33,4,3,4,2067.0,1250,817.0,0.891,4565,65,0.806,0.605,719042208,1,99.88098478922117,Attrition,Attrition
44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,717929133,1,99.9375549336639,Attrition,Attrition
56,F,2,Graduate,Married,Less than $40K,Blue,48,6,3,2,4366.0,1590,2776.0,0.475,1596,37,0.423,0.364,714522258,1,99.57586914371336,Attrition,Attrition
54,F,3,High School,Divorced,Unknown,Blue,36,3,5,3,4806.0,0,4806.0,0.827,4674,87,0.74,0.0,716244933,1,99.63722310171283,Attrition,Attrition
48,M,4,College,Married,$60K - $80K,Gold,33,2,2,3,34516.0,2061,32455.0,0.722,1350,32,0.455,0.06,779749908,1,87.7983123693398,Attrition,Attrition
61,F,0,Graduate,Single,Less than $40K,Blue,36,5,3,3,2207.0,2020,187.0,0.693,4348,84,0.647,0.915,713440833,1,99.94553344447755,Attrition,Attrition
48,F,2,Graduate,Divorced,Unknown,Blue,43,2,3,3,7791.0,1472,6319.0,0.979,13945,107,0.754,0.189,803335008,1,99.71976610980039,Attrition,Attrition
39,F,1,Graduate,Single,Less than $40K,Blue,26,3,3,1,1876.0,1536,340.0,0.712,2579,47,0.469,0.819,721448283,0,5.853772068647897,Existing,Existing
45,M,4,Graduate,Single,$40K - $60K,Blue,35,3,2,2,7935.0,888,7047.0,0.779,15380,122,0.694,0.112,713768358,1,99.93662553672618,Attrition,Attrition
36,F,2,Post-Graduate,Married,Less than $40K,Blue,25,5,3,4,4701.0,1492,3209.0,0.805,1679,32,0.455,0.317,713834358,1,99.18234467681388,Attrition,Attrition
50,F,1,Graduate,Single,Less than $40K,Blue,36,1,3,4,2422.0,502,1920.0,0.997,2548,46,0.484,0.207,708708858,0,0.09133835418597222,Existing,Existing
47,F,1,Graduate,Married,Less than $40K,Blue,36,4,2,1,8322.0,0,8322.0,0.86,3700,62,1.0,0.0,721508283,1,99.363422179203,Attrition,Attrition
53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,788658483,1,99.99326680752615,Attrition,Attrition
48,M,4,Unknown,Divorced,$60K - $80K,Blue,31,4,1,1,1438.3,0,1438.3,0.836,4509,74,0.451,0.0,709285683,1,99.64903035476085,Attrition,Attrition
37,M,2,High School,Single,$40K - $60K,Blue,24,6,2,3,11699.0,1758,9941.0,0.869,2007,46,1.0,0.15,714603558,1,99.88774402554405,Attrition,Attrition
63,F,0,High School,Single,Less than $40K,Blue,36,4,3,3,2074.0,1688,386.0,0.62,4232,75,0.5,0.814,717622308,1,99.86772934722516,Attrition,Attrition
38,F,1,Uneducated,Single,Less than $40K,Blue,27,6,3,4,8638.0,0,8638.0,0.489,1295,29,0.381,0.0,713693958,1,65.26043009851932,Attrition,Attrition
52,M,2,High School,Single,$120K +,Blue,43,3,2,3,34516.0,761,33755.0,0.916,4313,82,0.547,0.022,715098333,1,99.01585317726261,Attrition,Attrition
48,M,3,High School,Married,$60K - $80K,Blue,39,4,3,2,5448.0,0,5448.0,0.549,3912,72,0.565,0.0,719239158,1,99.74468089409801,Attrition,Attrition
61,M,0,Graduate,Married,$60K - $80K,Blue,54,3,2,0,1616.0,1047,569.0,0.984,1389,33,1.2,0.648,710027508,1,99.96549546618448,Attrition,Attrition
50,M,4,Unknown,Married,$60K - $80K,Blue,36,5,1,4,10226.0,1638,8588.0,1.053,3321,57,1.036,0.16,714318033,1,99.79688062128822,Attrition,Attrition
42,M,4,High School,Single,$80K - $120K,Blue,28,3,3,3,1944.0,1804,140.0,0.723,4682,90,0.667,0.928,720126033,1,99.93257330479075,Attrition,Attrition
42,M,1,Graduate,Single,$60K - $80K,Blue,37,4,1,1,2596.0,1210,1386.0,0.549,4642,78,0.696,0.466,814195758,1,99.96887739985343,Attrition,Attrition
44,M,4,High School,Single,$60K - $80K,Gold,29,1,2,1,34516.0,1930,32586.0,0.615,12478,97,0.764,0.056,712152408,1,99.95956776577889,Attrition,Attrition
45,M,5,Graduate,Married,$60K - $80K,Blue,38,5,1,4,8983.0,0,8983.0,0.713,15163,124,0.746,0.0,755305683,1,99.7143202190087,Attrition,Attrition
60,F,0,High School,Married,Less than $40K,Blue,36,1,1,3,4147.0,2262,1885.0,0.565,14624,111,0.79,0.545,720372483,1,99.93874920880718,Attrition,Attrition
43,M,3,College,Married,$60K - $80K,Blue,36,2,3,3,1438.3,0,1438.3,0.539,1707,38,1.111,0.0,757194408,0,28.34442522942305,Existing,Existing
45,F,4,Graduate,Single,$40K - $60K,Blue,34,3,2,2,2700.0,1977,723.0,0.801,4984,75,1.083,0.732,719614758,1,99.93764350373937,Attrition,Attrition
54,F,4,Unknown,Married,Less than $40K,Blue,41,3,1,3,2028.0,0,2028.0,0.823,4030,78,0.733,0.0,771224358,1,99.88634273960912,Attrition,Attrition
54,F,2,Graduate,Married,Less than $40K,Blue,45,5,2,4,2683.0,1671,1012.0,0.784,1406,37,0.423,0.623,712634133,1,99.82501036758276,Attrition,Attrition
